RM1120200.012
Embrapa_ 02/02/2011 00:00:28 02/02/2011 00:01:29 0100 -060.0 -002.9 -90 00 30.0 1013.0
0000600 0010 0000600 0010 05
1 0 1 04000 1 0960 7.50 00355.o 0 0 00 000 12 000600 0.500 BT0
1 1 1 04000 1 0960 7.50 00355.o 0 0 00 000 00 000600 3.1746 BC0
1 0 2 04000 1 0990 7.50 00387.o 0 0 00 000 12 000600 0.020 BT1
1 1 2 04000 1 0990 7.50 00387.o 0 0 00 000 00 000600 3.1746 BC1
1 1 2 04000 1 0990 7.50 00408.o 0 0 00 000 00 000600 3.1746 BC2
355.000 .o analog 0 	355.000 .o photon 0 	387.000 .o analog 1 	387.000 .o photon 1 	408.000 .o photon 2 
  4.0131	 70.5000	  2.4987	 23.7333	  0.4667
  3.9215	 70.9000	  2.4537	 23.0333	  0.5667
  3.7673	 68.1000	  2.4749	 21.9667	  0.6000
  3.7443	 68.6000	  2.4585	 22.6333	  0.6000
  3.7351	 69.3667	  2.4360	 21.9000	  0.4667
  3.6277	 66.5667	  2.4226	 23.3667	  0.6333
  3.4837	 66.7000	  2.4274	 21.1667	  0.4667
  3.4477	 66.6333	  2.4105	 20.0667	  0.4333
  3.4239	 64.3000	  2.3818	 21.6333	  0.7667
  3.3569	 64.4000	  2.3645	 22.2000	  0.3667
  3.3512	 68.0000	  2.3655	 21.7667	  0.6000
  3.2131	 63.3000	  2.3415	 20.3333	  0.3667
  3.2422	 65.3667	  2.3226	 19.8667	  0.4000
  3.2125	 63.8000	  2.3515	 21.0333	  0.4667
  3.2235	 65.6667	  2.3465	 19.3000	  0.4667
  3.1866	 69.1333	  2.3476	 21.1333	  0.4667
  3.1561	 66.9667	  2.3147	 20.4333	  0.5000
  3.1175	 67.4667	  2.3162	 22.6333	  0.5000
  3.0886	 69.6333	  2.3399	 23.0333	  0.6000
  3.1118	 71.5333	  2.3273	 23.6667	  0.1667
  3.0747	 72.6000	  2.3140	 24.8333	  0.3667
  3.0800	 75.5667	  2.3100	 25.7333	  0.5667
  3.1384	 77.1333	  2.3048	 24.9667	  0.5667
  3.0910	 78.9000	  2.3086	 27.4667	  0.7000
  3.2003	 82.6333	  2.2953	 28.7000	  0.7333
  3.1734	 88.7667	  2.3183	 29.9333	  0.6667
  3.1771	107.3333	  2.3266	 32.5333	  0.4667
  3.2357	113.5333	  2.3506	 32.1000	  0.7000
  3.2922	124.9667	  2.3486	 36.4667	  0.8667
  3.3368	136.2667	  2.3617	 36.7667	  0.8333
